GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
17/12/2022,22200438,Final,1610612746,1610612764,2022,1610612746,102,0.43,0.615,0.414,19,49,1610612764,93,0.429,0.923,0.36,20,42,1
17/12/2022,22200439,Final,1610612759,1610612748,2022,1610612759,101,0.429,0.758,0.37,29,38,1610612748,111,0.512,0.696,0.367,25,40,0
17/12/2022,22200440,Final,1610612739,1610612742,2022,1610612739,100,0.426,0.591,0.194,23,51,1610612742,99,0.409,0.632,0.306,19,45,1
17/12/2022,22200441,Final,1610612745,1610612757,2022,1610612745,95,0.4,0.69,0.103,19,51,1610612757,107,0.471,0.737,0.361,20,36,0
17/12/2022,22200442,Final,1610612749,1610612762,2022,1610612749,123,0.533,0.818,0.474,30,54,1610612762,97,0.453,0.5,0.34,24,29,1
17/12/2022,22200443,Final,1610612760,1610612763,2022,1610612760,115,0.413,0.645,0.422,29,53,1610612763,109,0.378,0.784,0.267,15,53,1
17/12/2022,22200444,Final,1610612756,1610612740,2022,1610612756,118,0.47,0.714,0.366,23,35,1610612740,114,0.584,0.769,0.467,27,36,1
16/12/2022,22200428,Final,1610612766,1610612737,2022,1610612766,106,0.398,0.684,0.349,26,43,1610612737,125,0.547,0.824,0.517,25,41,0
16/12/2022,22200429,Final,1610612765,1610612758,2022,1610612765,113,0.459,0.806,0.345,22,46,1610612758,122,0.524,0.828,0.387,30,33,0
16/12/2022,22200430,Final,1610612738,1610612753,2022,1610612738,109,0.417,0.824,0.239,17,38,1610612753,117,0.462,0.857,0.273,19,53,0
16/12/2022,22200431,Final,1610612739,1610612754,2022,1610612739,118,0.5,0.875,0.452,23,34,1610612754,112,0.525,0.895,0.306,34,33,1
16/12/2022,22200432,Final,1610612755,1610612744,2022,1610612755,118,0.459,0.806,0.395,23,49,1610612744,106,0.415,0.846,0.395,31,48,1
16/12/2022,22200433,Final,1610612761,1610612751,2022,1610612761,116,0.488,0.862,0.375,17,32,1610612751,119,0.605,0.783,0.346,22,37,0
16/12/2022,22200434,Final,1610612741,1610612752,2022,1610612741,91,0.468,0.875,0.4,26,39,1610612752,114,0.402,0.719,0.386,19,50,0
16/12/2022,22200435,Final,1610612760,1610612750,2022,1610612760,110,0.466,0.81,0.297,29,45,1610612750,112,0.494,0.56,0.48,23,43,0
16/12/2022,22200436,Final,1610612742,1610612757,2022,1610612742,130,0.556,0.846,0.419,25,40,1610612757,110,0.438,0.76,0.351,21,42,1
16/12/2022,22200437,Final,1610612747,1610612743,2022,1610612747,126,0.527,0.75,0.364,29,45,1610612743,108,0.481,0.75,0.333,25,39,1
15/12/2022,22200424,Final,1610612745,1610612748,2022,1610612745,108,0.468,0.647,0.273,22,51,1610612748,111,0.443,0.739,0.34,21,40,0
15/12/2022,22200425,Final,1610612763,1610612749,2022,1610612763,142,0.549,0.783,0.375,30,56,1610612749,101,0.372,0.667,0.26,22,39,1
15/12/2022,22200426,Final,1610612762,1610612740,2022,1610612762,132,0.457,0.811,0.383,24,44,1610612740,129,0.475,0.821,0.4,24,49,1
15/12/2022,22200427,Final,1610612746,1610612756,2022,1610612746,95,0.378,0.714,0.364,21,52,1610612756,111,0.463,0.778,0.281,27,53,0
14/12/2022,22200414,Final,1610612766,1610612765,2022,1610612766,134,0.412,0.793,0.333,21,52,1610612765,141,0.516,0.75,0.45,25,52,0
14/12/2022,22200415,Final,1610612754,1610612744,2022,1610612754,125,0.506,0.84,0.41,30,34,1610612744,119,0.465,0.862,0.424,27,46,1
14/12/2022,22200416,Final,1610612753,1610612737,2022,1610612753,135,0.505,0.833,0.444,28,46,1610612737,124,0.5,0.889,0.343,30,39,1
14/12/2022,22200417,Final,1610612761,1610612758,2022,1610612761,123,0.5,0.852,0.286,25,39,1610612758,124,0.484,0.85,0.37,29,50,0
14/12/2022,22200418,Final,1610612741,1610612752,2022,1610612741,120,0.548,0.864,0.321,25,31,1610612752,128,0.495,0.8,0.529,25,48,0
14/12/2022,22200419,Final,1610612760,1610612748,2022,1610612760,108,0.5,0.739,0.375,26,44,1610612748,110,0.43,0.8,0.429,25,39,0
14/12/2022,22200420,Final,1610612759,1610612757,2022,1610612759,112,0.464,0.579,0.379,23,40,1610612757,128,0.605,0.706,0.45,26,40,0
14/12/2022,22200421,Final,1610612742,1610612739,2022,1610612742,90,0.392,0.731,0.342,17,33,1610612739,105,0.526,0.789,0.333,26,43,0
14/12/2022,22200422,Final,1610612743,1610612764,2022,1610612743,141,0.651,0.829,0.25,31,45,1610612764,128,0.527,0.565,0.487,40,24,1
14/12/2022,22200423,Final,1610612746,1610612750,2022,1610612746,99,0.382,0.81,0.304,21,52,1610612750,88,0.419,0.733,0.182,15,43,1
13/12/2022,22200409,Final,1610612755,1610612758,2022,1610612755,123,0.512,0.778,0.457,34,42,1610612758,103,0.413,0.85,0.238,21,48,1
13/12/2022,22200410,Final,1610612749,1610612744,2022,1610612749,128,0.549,0.813,0.414,22,55,1610612744,111,0.4,0.789,0.4,25,37,1
13/12/2022,22200411,Final,1610612745,1610612756,2022,1610612745,111,0.42,0.912,0.343,16,67,1610612756,97,0.32,0.947,0.255,22,44,1
13/12/2022,22200412,Final,1610612762,1610612740,2022,1610612762,121,0.476,0.667,0.319,31,59,1610612740,100,0.398,0.667,0.148,25,43,1
13/12/2022,22200413,Final,1610612747,1610612738,2022,1610612747,118,0.473,0.733,0.276,23,49,1610612738,122,0.442,0.688,0.396,27,51,0
12/12/2022,22200402,Final,1610612754,1610612748,2022,1610612754,82,0.354,0.75,0.282,16,45,1610612748,87,0.386,0.778,0.265,23,48,0
12/12/2022,22200403,Final,1610612764,1610612751,2022,1610612764,100,0.468,0.682,0.355,21,44,1610612751,112,0.494,0.889,0.296,25,41,0
12/12/2022,22200404,Final,1610612763,1610612737,2022,1610612763,128,0.602,0.833,0.406,36,49,1610612737,103,0.356,0.773,0.324,20,39,1
12/12/2022,22200405,Final,1610612742,1610612760,2022,1610612742,121,0.419,0.84,0.407,24,50,1610612760,114,0.477,0.952,0.323,21,42,1
12/12/2022,22200406,Final,1610612759,1610612739,2022,1610612759,112,0.474,0.688,0.333,25,46,1610612739,111,0.489,0.941,0.217,21,44,1
12/12/2022,22200407,Final,1610612757,1610612750,2022,1610612757,133,0.539,0.762,0.457,32,54,1610612750,112,0.495,0.526,0.37,25,37,1
12/12/2022,22200408,Final,1610612746,1610612738,2022,1610612746,113,0.489,0.714,0.4,18,46,1610612738,93,0.434,0.692,0.231,27,36,1
11/12/2022,22200395,Final,1610612740,1610612756,2022,1610612740,129,0.581,0.75,0.32,31,43,1610612756,124,0.467,0.765,0.342,34,42,1
11/12/2022,22200396,Final,1610612765,1610612747,2022,1610612765,117,0.462,0.824,0.378,28,40,1610612747,124,0.548,0.778,0.423,31,42,0
11/12/2022,22200397,Final,1610612752,1610612758,2022,1610612752,112,0.449,0.889,0.229,19,55,1610612758,99,0.398,0.657,0.256,20,41,1
11/12/2022,22200398,Final,1610612753,1610612761,2022,1610612753,111,0.468,0.806,0.452,25,42,1610612761,99,0.4,0.868,0.24,18,28,1
11/12/2022,22200399,Final,1610612755,1610612766,2022,1610612755,131,0.554,0.813,0.481,31,41,1610612766,113,0.409,0.867,0.367,21,45,1
11/12/2022,22200400,Final,1610612737,1610612741,2022,1610612737,123,0.48,0.762,0.333,28,45,1610612741,122,0.48,0.826,0.259,28,53,1
11/12/2022,22200401,Final,1610612745,1610612749,2022,1610612745,97,0.44,0.917,0.222,23,49,1610612749,92,0.367,0.778,0.279,18,52,1
10/12/2022,22200387,Final,1610612748,1610612759,2022,1610612748,111,0.481,0.714,0.382,26,32,1610612759,115,0.538,0.774,0.333,24,46,0
10/12/2022,22200388,Final,1610612754,1610612751,2022,1610612754,133,0.553,0.75,0.477,30,30,1610612751,136,0.52,0.719,0.321,19,59,0
10/12/2022,22200389,Final,1610612764,1610612746,2022,1610612764,107,0.435,0.895,0.471,24,50,1610612746,114,0.426,0.938,0.396,22,42,0
10/12/2022,22200390,Final,1610612739,1610612760,2022,1610612739,110,0.471,0.692,0.375,25,48,1610612760,102,0.458,0.8,0.345,25,40,1
10/12/2022,22200391,Final,1610612741,1610612742,2022,1610612741,144,0.635,0.708,0.559,33,44,1610612742,115,0.456,0.846,0.25,24,37,1
10/12/2022,22200392,Final,1610612744,1610612738,2022,1610612744,123,0.511,0.8,0.333,26,53,1610612738,107,0.437,0.731,0.3,17,39,1
10/12/2022,22200393,Final,1610612743,1610612762,2022,1610612743,115,0.547,0.813,0.308,28,39,1610612762,110,0.459,0.81,0.366,20,42,1
10/12/2022,22200394,Final,1610612757,1610612750,2022,1610612757,124,0.518,0.893,0.382,20,45,1610612750,118,0.542,0.75,0.435,22,28,1
09/12/2022,22200377,Final,1610612766,1610612752,2022,1610612766,102,0.44,0.786,0.231,16,45,1610612752,121,0.441,0.867,0.382,25,48,0
09/12/2022,22200378,Final,1610612754,1610612764,2022,1610612754,121,0.506,0.85,0.439,23,40,1610612764,111,0.532,0.76,0.345,25,38,1
09/12/2022,22200379,Final,1610612753,1610612761,2022,1610612753,113,0.592,0.905,0.385,24,43,1610612761,109,0.424,0.818,0.286,23,33,1
09/12/2022,22200380,Final,1610612751,1610612737,2022,1610612751,120,0.542,0.81,0.433,30,38,1610612737,116,0.495,0.875,0.345,21,38,1
09/12/2022,22200381,Final,1610612739,1610612758,2022,1610612739,95,0.43,0.773,0.333,20,36,1610612758,106,0.53,0.625,0.485,21,38,0
09/12/2022,22200382,Final,1610612755,1610612747,2022,1610612755,133,0.533,0.864,0.45,30,42,1610612747,122,0.5,0.767,0.355,29,37,1
09/12/2022,22200383,Final,1610612763,1610612765,2022,1610612763,114,0.484,0.531,0.281,30,48,1610612765,103,0.4,0.741,0.314,23,47,1
09/12/2022,22200384,Final,1610612740,1610612756,2022,1610612740,128,0.511,0.8,0.296,27,44,1610612756,117,0.5,0.692,0.5,30,37,1
09/12/2022,22200385,Final,1610612762,1610612750,2022,1610612762,108,0.433,0.708,0.295,22,40,1610612750,118,0.532,0.769,0.4,30,44,0
09/12/2022,22200386,Final,1610612742,1610612749,2022,1610612742,105,0.466,0.417,0.325,21,43,1610612749,106,0.437,0.826,0.344,27,51,0
08/12/2022,22200374,Final,1610612748,1610612746,2022,1610612748,115,0.511,0.786,0.375,24,43,1610612746,110,0.463,0.905,0.472,24,43,1
08/12/2022,22200375,Final,1610612759,1610612745,2022,1610612759,118,0.554,0.867,0.361,25,38,1610612745,109,0.449,0.733,0.345,23,42,1
08/12/2022,22200376,Final,1610612757,1610612743,2022,1610612757,120,0.484,1,0.4,30,38,1610612743,121,0.516,0.682,0.4,28,48,0
07/12/2022,22200363,Final,1610612753,1610612746,2022,1610612753,116,0.421,0.903,0.286,20,53,1610612746,111,0.411,0.692,0.366,26,53,1
07/12/2022,22200364,Final,1610612751,1610612766,2022,1610612751,122,0.57,0.75,0.387,33,39,1610612766,116,0.534,0.522,0.417,25,40,1
07/12/2022,22200365,Final,1610612752,1610612737,2022,1610612752,113,0.446,0.917,0.472,26,55,1610612737,89,0.376,0.792,0.167,16,39,1
07/12/2022,22200366,Final,1610612761,1610612747,2022,1610612761,126,0.443,0.833,0.279,25,54,1610612747,113,0.425,0.914,0.212,16,46,1
07/12/2022,22200367,Final,1610612741,1610612764,2022,1610612741,115,0.5,0.882,0.435,29,41,1610612764,111,0.488,0.69,0.29,22,38,1
07/12/2022,22200368,Final,1610612763,1610612760,2022,1610612763,123,0.511,0.813,0.368,32,50,1610612760,102,0.37,0.87,0.368,25,48,1
07/12/2022,22200369,Final,1610612749,1610612758,2022,1610612749,126,0.479,0.833,0.424,34,50,1610612758,113,0.473,0.938,0.316,19,40,1
07/12/2022,22200370,Final,1610612750,1610612754,2022,1610612750,121,0.473,0.926,0.348,25,51,1610612754,115,0.481,0.75,0.452,22,31,1
07/12/2022,22200371,Final,1610612740,1610612765,2022,1610612740,104,0.459,0.783,0.296,21,50,1610612765,98,0.389,0.813,0.357,17,42,1
07/12/2022,22200372,Final,1610612762,1610612744,2022,1610612762,124,0.535,0.81,0.429,26,40,1610612744,123,0.459,0.76,0.333,26,42,1
07/12/2022,22200373,Final,1610612756,1610612738,2022,1610612756,98,0.398,0.842,0.25,19,49,1610612738,125,0.485,0.846,0.356,29,53,0
06/12/2022,22200360,Final,1610612739,1610612747,2022,1610612739,116,0.516,0.765,0.259,25,44,1610612747,102,0.427,0.833,0.167,16,43,1
06/12/2022,22200361,Final,1610612748,1610612765,2022,1610612748,96,0.429,0.769,0.313,21,40,1610612765,116,0.494,0.733,0.463,27,40,0
06/12/2022,22200362,Final,1610612743,1610612742,2022,1610612743,115,0.513,0.786,0.406,30,36,1610612742,116,0.5,0.871,0.472,27,35,0
05/12/2022,22200352,Final,1610612766,1610612746,2022,1610612766,117,0.48,0.647,0.353,29,49,1610612746,119,0.484,0.667,0.417,30,47,0
05/12/2022,22200353,Final,1610612753,1610612749,2022,1610612753,102,0.366,0.897,0.25,21,52,1610612749,109,0.447,0.769,0.325,31,45,0
05/12/2022,22200354,Final,1610612737,1610612760,2022,1610612737,114,0.431,0.765,0.342,24,54,1610612760,121,0.453,0.958,0.353,25,49,0
05/12/2022,22200355,Final,1610612761,1610612738,2022,1610612761,110,0.459,0.733,0.357,19,46,1610612738,116,0.489,0.714,0.361,27,49,0
05/12/2022,22200356,Final,1610612745,1610612755,2022,1610612745,132,0.447,0.773,0.359,19,51,1610612755,123,0.448,0.778,0.472,23,39,1
05/12/2022,22200357,Final,1610612763,1610612748,2022,1610612763,101,0.467,1,0.25,23,41,1610612748,93,0.392,0.773,0.35,23,45,1
05/12/2022,22200358,Final,1610612742,1610612756,2022,1610612742,130,0.524,0.846,0.488,23,41,1610612756,111,0.44,0.692,0.351,28,41,1
05/12/2022,22200359,Final,1610612744,1610612754,2022,1610612744,104,0.404,0.789,0.295,26,47,1610612754,112,0.478,0.611,0.385,26,47,0
04/12/2022,22200344,Final,1610612740,1610612743,2022,1610612740,121,0.506,0.778,0.423,29,36,1610612743,106,0.506,0.667,0.258,24,43,1
04/12/2022,22200345,Final,1610612759,1610612756,2022,1610612759,95,0.437,0.722,0.194,19,40,1610612756,133,0.521,0.8,0.514,38,45,0
04/12/2022,22200346,Final,1610612751,1610612738,2022,1610612751,92,0.405,0.682,0.346,17,45,1610612738,103,0.432,0.9,0.395,18,48,0
04/12/2022,22200347,Final,1610612765,1610612763,2022,1610612765,112,0.44,0.833,0.371,26,39,1610612763,122,0.467,0.724,0.429,28,46,0
04/12/2022,22200348,Final,1610612752,1610612739,2022,1610612752,92,0.407,0.81,0.172,17,54,1610612739,81,0.349,0.75,0.229,17,39,1
